river,window_id,annual_trend_direction,annual_slope_TgC_per_year,annual_p_value,window_flux_trend_direction,window_flux_slope_TgC_per_year,window_flux_p_value,window_fraction_trend_direction,window_fraction_slope_per_year,window_fraction_p_value,does_window_explain_annual_signal,interpretation
Kolyma,common_overlap_w1_w2,flat_or_uncertain,-0.0005301371985911,0.9453088061670408,flat_or_uncertain,-0.005227086094676139,0.41968296664151816,flat_or_uncertain,-0.004780088153173728,0.3717547393419154,not_applicable,No detectable increasing annual flux signal in the core cohort.
Kolyma,discharge_centered_freshet,flat_or_uncertain,-0.0005301371985911,0.9453088061670408,flat_or_uncertain,0.006416818183351385,0.8134817550875965,flat_or_uncertain,0.0008015154335375132,0.9271534978978404,not_applicable,No detectable increasing annual flux signal in the core cohort.
Kolyma,fixed_may_july_reference,flat_or_uncertain,-0.0005301371985911,0.9453088061670408,flat_or_uncertain,-0.002085271886805428,0.7454051126421465,flat_or_uncertain,-0.001819737774667707,0.5515626177848887,not_applicable,No detectable increasing annual flux signal in the core cohort.
Kolyma,q75_peak_contiguous,flat_or_uncertain,-0.0005301371985911,0.9453088061670408,flat_or_uncertain,-0.005227086094676139,0.41968296664151816,flat_or_uncertain,-0.004780088153173728,0.3717547393419154,not_applicable,No detectable increasing annual flux signal in the core cohort.
Kolyma,snow_depletion_assisted,flat_or_uncertain,-0.0005301371985911,0.9453088061670408,flat_or_uncertain,-0.009140032496247697,0.30697396442827085,flat_or_uncertain,-0.005630039071131748,0.5035859151896023,not_applicable,No detectable increasing annual flux signal in the core cohort.
Lena,common_overlap_w1_w2,flat_or_uncertain,-0.0287217555954241,0.3586257277622175,flat_or_uncertain,-0.0014086676792308627,0.9518348512073007,flat_or_uncertain,0.002791343284145641,0.39754664113300686,not_applicable,No detectable increasing annual flux signal in the core cohort.
Lena,fixed_may_july_reference,flat_or_uncertain,-0.0287217555954241,0.3586257277622175,flat_or_uncertain,-0.013484009041454805,0.522953897719999,flat_or_uncertain,0.0009054538144966648,0.6647111145295082,not_applicable,No detectable increasing annual flux signal in the core cohort.
Lena,q75_peak_contiguous,flat_or_uncertain,-0.0287217555954241,0.3586257277622175,flat_or_uncertain,-0.009528754652950933,0.6801240056520925,flat_or_uncertain,0.0013652201853211927,0.6872449435879564,not_applicable,No detectable increasing annual flux signal in the core cohort.
Lena,snow_depletion_assisted,flat_or_uncertain,-0.0287217555954241,0.3586257277622175,flat_or_uncertain,-0.015172281270271731,0.668630404233248,flat_or_uncertain,0.0017443704793735847,0.6675689373133615,not_applicable,No detectable increasing annual flux signal in the core cohort.
Mackenzie,common_overlap_w1_w2,flat_or_uncertain,-0.0105200212972478,0.3457372392120392,flat_or_uncertain,-0.008596762577344728,0.14714214798159025,flat_or_uncertain,-0.004390241090180846,0.23114418577144255,not_applicable,No detectable increasing annual flux signal in the core cohort.
Mackenzie,discharge_centered_freshet,flat_or_uncertain,-0.0105200212972478,0.3457372392120392,flat_or_uncertain,-0.001989744376225343,0.8869420116831483,flat_or_uncertain,0.004301810057818553,0.4355095422631833,not_applicable,No detectable increasing annual flux signal in the core cohort.
Mackenzie,fixed_may_july_reference,flat_or_uncertain,-0.0105200212972478,0.3457372392120392,flat_or_uncertain,-0.006846181091881082,0.27600419438946044,flat_or_uncertain,-0.0010425263684244377,0.4427707794302538,not_applicable,No detectable increasing annual flux signal in the core cohort.
Mackenzie,q75_peak_contiguous,flat_or_uncertain,-0.0105200212972478,0.3457372392120392,flat_or_uncertain,-0.008596762577344728,0.14714214798159025,flat_or_uncertain,-0.004390241090180846,0.23114418577144255,not_applicable,No detectable increasing annual flux signal in the core cohort.
Mackenzie,snow_depletion_assisted,flat_or_uncertain,-0.0105200212972478,0.3457372392120392,flat_or_uncertain,-0.002436291100768523,0.8476204784656483,flat_or_uncertain,-0.003070908739207701,0.6804897562035963,not_applicable,No detectable increasing annual flux signal in the core cohort.
Ob,common_overlap_w1_w2,flat_or_uncertain,0.026494534170494,0.2895883744327375,flat_or_uncertain,0.006819801318819481,0.5372533947302494,flat_or_uncertain,-0.0008244973662809298,0.7828983172057904,not_applicable,No detectable increasing annual flux signal in the core cohort.
Ob,discharge_centered_freshet,flat_or_uncertain,0.026494534170494,0.2895883744327375,flat_or_uncertain,0.08591526740064516,0.30024405375305824,flat_or_uncertain,0.010828908074549387,0.6018254843232451,not_applicable,No detectable increasing annual flux signal in the core cohort.
Ob,fixed_may_july_reference,flat_or_uncertain,0.026494534170494,0.2895883744327375,flat_or_uncertain,0.008990635555701846,0.41538118859680173,flat_or_uncertain,-0.0013274839556198367,0.45320646034554957,not_applicable,No detectable increasing annual flux signal in the core cohort.
Ob,q75_peak_contiguous,flat_or_uncertain,0.026494534170494,0.2895883744327375,flat_or_uncertain,0.008613065806043632,0.443815146890991,flat_or_uncertain,-0.00042345377015159014,0.8872479053643293,not_applicable,No detectable increasing annual flux signal in the core cohort.
Ob,snow_depletion_assisted,flat_or_uncertain,0.026494534170494,0.2895883744327375,flat_or_uncertain,0.022798859700678215,0.540566414934365,flat_or_uncertain,0.004272896201796968,0.6613697137463732,not_applicable,No detectable increasing annual flux signal in the core cohort.
Yenisey,common_overlap_w1_w2,flat_or_uncertain,0.003067201291782,0.9394281441457624,flat_or_uncertain,-0.017382896703990913,0.3883915838767935,flat_or_uncertain,-0.004482418870391427,0.07866739302588245,not_applicable,No detectable increasing annual flux signal in the core cohort.
Yenisey,discharge_centered_freshet,flat_or_uncertain,0.003067201291782,0.9394281441457624,flat_or_uncertain,-0.02227029780733167,0.47038304918510465,flat_or_uncertain,-0.005941805726095086,0.0718134821742305,not_applicable,No detectable increasing annual flux signal in the core cohort.
Yenisey,fixed_may_july_reference,flat_or_uncertain,0.003067201291782,0.9394281441457624,flat_or_uncertain,-0.013212048316097971,0.6427596665167508,flat_or_uncertain,-0.0035637577693885835,0.12269596989616945,not_applicable,No detectable increasing annual flux signal in the core cohort.
Yenisey,q75_peak_contiguous,flat_or_uncertain,0.003067201291782,0.9394281441457624,flat_or_uncertain,-0.017382896703990913,0.3883915838767935,flat_or_uncertain,-0.004482418870391427,0.07866739302588245,not_applicable,No detectable increasing annual flux signal in the core cohort.
Yenisey,snow_depletion_assisted,flat_or_uncertain,0.003067201291782,0.9394281441457624,flat_or_uncertain,0.008194656602871173,0.8244426073629844,flat_or_uncertain,0.0030479935434312463,0.6421753822709035,not_applicable,No detectable increasing annual flux signal in the core cohort.
Yukon,common_overlap_w1_w2,increasing,0.0217923713793453,0.0150804369764447,flat_or_uncertain,0.00039643851543002585,0.9576320102092141,flat_or_uncertain,-0.003950182209867624,0.35918791633568814,partial,Yukon annual flux increase has a positive but not decisive dynamic window signal.
Yukon,discharge_centered_freshet,increasing,0.0217923713793453,0.0150804369764447,flat_or_uncertain,0.05603958709793587,0.0917198660740005,increasing,0.02456928978954364,0.0032351296244190753,partial,Yukon annual flux increase has a positive but not decisive dynamic window signal.
Yukon,fixed_may_july_reference,increasing,0.0217923713793453,0.0150804369764447,flat_or_uncertain,0.002825516478449223,0.7008052878638041,decreasing,-0.0070720687212212485,0.007232414346764596,no,Yukon annual flux increase is not explained by this dynamic window under the core trend criteria.
Yukon,q75_peak_contiguous,increasing,0.0217923713793453,0.0150804369764447,flat_or_uncertain,0.00026451279707146374,0.9719672046712582,flat_or_uncertain,-0.00404917769934147,0.3584042974100847,partial,Yukon annual flux increase has a positive but not decisive dynamic window signal.
Yukon,snow_depletion_assisted,increasing,0.0217923713793453,0.0150804369764447,flat_or_uncertain,0.015567887453776866,0.21771941195213082,flat_or_uncertain,7.636677776320317e-05,0.9919551781632181,partial,Yukon annual flux increase has a positive but not decisive dynamic window signal.
